region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Chile,2012,11.94,6.155340021,23.08944662,3.007448402,23.77178989,0.959562935,1.024963825,6.562,15.16003652,7.01951313,2.045880251,4.304934979,72
Chile,2013,12.78,3.308508245,23.11320222,1.78955554,22.64292828,0.953744683,1.019094697,6.074,15.51198744,7.47552633,1.994622472,4.548140049,71
Chile,2014,15.02,1.792649474,23.85261144,4.718675279,22.35624163,0.99681846,1.062130255,6.483,15.91172162,7.84150124,1.967106877,4.751679897,73
Chile,2015,17.38,2.151942499,25.02794887,4.348773532,22.93943628,1.021566689,1.086835,6.313,16.34861043,8.3513937,1.909623355,4.903900146,70
Chile,2016,21.1,1.753038746,25.366653,3.786193559,22.70603662,1.209415437,1.280362588,6.673,16.78142166,8.55767059,1.924158448,5.36646986,66
Chile,2017,23.65,1.357695378,25.49262058,2.182718469,22.86508948,1.583948258,1.661703669,7.257,17.15748882,9.090518,1.94059253,5.432789803,67
Chile,2018,25.8,3.990029475,25.61566243,2.434889814,24.13343991,1.785385849,1.869930219,7.623,17.50180224,9.22575188,1.877613957,5.473060131,67
Chile,2019,28.3,0.634367534,26.49714574,2.557544757,23.76662321,1.599117953,1.689296941,7.493,17.87136909,9.36262131,1.862616605,5.626309872,67
Chile,2020,32.35,-6.143474792,29.08833895,3.045490848,21.99304262,0.896491954,0.992286212,10.934,18.31024938,9.72726822,2.0637755,5.629930019,67
China,2012,34.39,7.863736449,28.15872875,2.619524326,27.85701361,0.678345459,3.130656596,4.1,12.51724494,4.56584787,1.700942672,4.297888756,39
China,2013,37.03,7.766150098,28.56443805,2.621050017,27.72828268,0.666072978,3.048365006,4.05,12.93403995,4.71490669,1.714340923,4.129804134,40
China,2014,39.97,7.425763656,28.89007452,1.921641628,28.20704977,0.63032639,2.953497442,4.1,13.42431289,4.77790594,1.738409288,4.105360031,36
China,2015,41.49,7.041328879,31.5521724,1.437023809,29.00864444,0.581456147,2.842870548,3.803,14.03551675,4.93827963,1.776771069,4.242012501,37
China,2016,50.7,6.848762205,32.31619708,2.000001822,28.92428514,0.573050906,2.775641769,3.534,14.73334758,4.97955608,1.76888659,4.206385136,40
China,2017,54.95,6.947200793,32.63516352,1.593136001,29.23169174,0.605245013,2.73966382,3.9,15.53926121,5.06592178,1.711242644,4.111331463,41
China,2018,56.66,6.749773832,33.27694177,2.0747904,28.99344925,0.467672053,2.503400504,4.93,16.41530508,5.16790485,1.673578209,4.024424076,39
China,2019,60.4,5.950500754,34.15260933,2.899234164,28.050729,0.35474089,2.290177234,5.15,17.29447462,5.3502779,1.682911012,4.059394836,41
China,2020,70.14,2.238638356,35.4027347,2.419421895,25.68461643,0.23804087,2.078140058,5.61,18.22082318,5.59359741,1.756699471,4.233381271,42
Colombia,2012,33.97,3.912635767,29.09259734,3.169301888,29.24738099,1.002907827,1.469043806,9.959,9.332070184,6.74601603,3.156005863,,36
Colombia,2013,37.59,5.13399352,29.99840388,2.016992243,28.97765938,0.948709329,1.40509323,9.246,9.653317706,7.01724052,3.272262857,,36
Colombia,2014,43.32,4.499030001,31.26124486,2.898837878,29.51716554,0.892711564,1.339465985,8.799,10.01029497,7.18553209,3.108258848,,37
Colombia,2015,50.42,2.955901375,31.27735055,4.989831158,27.75712783,0.864942377,1.303444479,8.572,10.39325089,7.52338552,3.109960084,,37
Colombia,2016,49.8,2.087382502,29.99362285,7.513460246,27.71966849,0.990548549,1.420893036,8.922,10.75553645,7.53117037,3.071131026,,37
Colombia,2017,49.44,1.359360868,29.32052256,4.314313257,26.82500132,1.451477262,1.872520302,9.086,11.08382036,7.67864323,3.208096724,,37
Colombia,2018,53.58,2.564324283,34.65789434,3.240569329,29.9902423,1.839137849,2.250986951,9.36,11.40208154,7.62541437,3.033232739,,36
Colombia,2019,52.4,3.186855392,32.87886158,3.523019327,29.39708415,1.786155077,2.188918599,10.28,11.75302501,7.77954912,3.145656694,,37
Colombia,2020,65.72,-7.185914138,33.54180881,2.526635001,26.58814219,1.436321673,1.831328859,15.983,12.11390135,8.71432114,3.536986516,,39
Costa Rica,2012,33.74,4.88259241,17.34317891,4.495453144,13.12790294,1.166766725,2.63533177,9.11,11.53420928,7.78642321,,6.582399845,54
